idInstituicao,siglaInstituicaoUnidade,sigla,nomeIES,unidade,distritoFederal,distritoSameAsWikidata,distritoSameAsDbpedia,distritoSameAsGeoNames,distritoFederalReconciliado,instituicaoCoordenadaDeLocalizacaoDistritoFederal,idCidade,cidade,estado,pais,paginaWeb,instituicaoReconciliada,instituicaoISNI,instituicaoCoordenadaDeLocalizacao,instituicaoSameAsWikidata,instituicaoCodigoWikidata,instituicaoSameAsDbpedia,instituicaoCodigoSameAsDbpedia,cidadeReconciliada,cidadeCodigoMunicipalidade,cidadeArea,cidadeCoordenadaDeLocalizacao,cidadeSameAsWikidata,cidadeCodigoWikidata,cidadeSameAsDbpedia,cidadeSameAsGeoNames,cidadeCodigoGeoNames,estadoReconciliado,estadoArea,estadoCoordenadaDeLocalizacao,estadoSameAsWikidata,estadoCodigo,estadoSameAsDbpedia,estadoSameAsGeoNames,estadoCodigoGeoNames,paisReconciliado,paisArea,paisCoordenadaDeLocalizacao,paisSameAsWikidata,paisCodigo,paisSameAsDbpedia,paisSameAsGeoNames,paisCodigoGeoNames
INS0001,UFES - campus Vitória,UFES,Universidade Federal do Espírito Santo,Campus Vitória,,,,,,,CID0001,Vitória,Espírito Santo,Brasil,https://www.ufes.br/,Federal University of Espírito Santo,0000 0001 2167 4168,"-20.310555555555556,-40.297222222222224",https://www.wikidata.org/entity/Q10387830,Q10387830,http://dbpedia.org/resource/Universidade_Federal_do_Espírito_Santo,Universidade_Federal_do_Espírito_Santo,Victory,3205309,96.536,"-20.310555555555556,-40.297222222222224",https://www.wikidata.org/entity/Q168376,Q168376,"https://dbpedia.org/resource/Vit%C3%B3ria,_Esp%C3%ADrito_Santo",https://sws.geonames.org/6322000,6322000,Holy Spirit,46077.5,"-19.683333333333334,-40.46666666666667",https://www.wikidata.org/wiki/Q43233,Q43233,http://dbpedia.org/resource/Esp%C3%ADrito_Santo_(estado),http://www.geonames.org/3463930,3463930,Brazil,8515767,"-14,-53",http://www.wikidata.org/entity/Q155,Q155,http://dbpedia.org/resource/Brasil,http://www.geonames.org/3469034,3469034
INS0002,UFES - campus Alegre,UFES,Universidade Federal do Espírito Santo,Campus Alegre,,,,,,,CID0003,Alegre,Espírito Santo,Brasil,https://alegre.ufes.br/,Federal University of Espírito Santo,0000 0001 2167 4168,"-20.763888888889,-41.532777777778",https://www.wikidata.org/entity/Q10387830,Q10387830,http://dbpedia.org/resource/Universidade_Federal_do_Espírito_Santo,Universidade_Federal_do_Espírito_Santo,Happy,3200201,772.714,"-20.763888888889,-41.532777777778",https://www.wikidata.org/entity/Q1807909,Q1807909,https://dbpedia.org/resource/Alegre_(Esp%C3%ADrito_Santo),https://sws.geonames.org/6324236,6324236,Holy Spirit,46077.5,"-19.683333333333334,-40.46666666666667",https://www.wikidata.org/wiki/Q43233,Q43233,http://dbpedia.org/resource/Esp%C3%ADrito_Santo_(estado),http://www.geonames.org/3463930,3463930,Brazil,8515767,"-14,-53",http://www.wikidata.org/entity/Q155,Q155,http://dbpedia.org/resource/Brasil,http://www.geonames.org/3469034,3469034
INS0003,UFES - campus Goiabeiras,UFES,Universidade Federal do Espírito Santo,Campus Goiabeiras,,,,,,,CID0001,Vitória,Espírito Santo,Brasil,https://www.ufes.br/,Federal University of Espírito Santo,0000 0001 2167 4168,"-20.310555555555556,-40.297222222222224",https://www.wikidata.org/entity/Q10387830,Q10387830,http://dbpedia.org/resource/Universidade_Federal_do_Espírito_Santo,Universidade_Federal_do_Espírito_Santo,Victoria,3205309,96.536,"-20.310555555555556,-40.297222222222224",https://www.wikidata.org/entity/Q168376,Q168376,"https://dbpedia.org/resource/Vit%C3%B3ria,_Esp%C3%ADrito_Santo",https://sws.geonames.org/6322000,6322000,Holy Spirit,46077.5,"-19.683333333333334,-40.46666666666667",https://www.wikidata.org/wiki/Q43233,Q43233,http://dbpedia.org/resource/Esp%C3%ADrito_Santo_(estado),http://www.geonames.org/3463930,3463930,Brazil,8515767,"-14,-53",http://www.wikidata.org/entity/Q155,Q155,http://dbpedia.org/resource/Brasil,http://www.geonames.org/3469034,3469034
INS0004,UFES - campus Maruípe,UFES,Universidade Federal do Espírito Santo,Campus Maruípe,,,,,,,CID0001,Vitória,Espírito Santo,Brasil,https://ccs.ufes.br/,Federal University of Espírito Santo,0000 0001 2167 4168,"-20.310555555555556,-40.297222222222224",https://www.wikidata.org/entity/Q10387830,Q10387830,http://dbpedia.org/resource/Universidade_Federal_do_Espírito_Santo,Universidade_Federal_do_Espírito_Santo,Victoria,3205309,96.536,"-20.310555555555556,-40.297222222222224",https://www.wikidata.org/entity/Q168376,Q168376,"https://dbpedia.org/resource/Vit%C3%B3ria,_Esp%C3%ADrito_Santo",https://sws.geonames.org/6322000,6322000,Holy Spirit,46077.5,"-19.683333333333334,-40.46666666666667",https://www.wikidata.org/wiki/Q43233,Q43233,http://dbpedia.org/resource/Esp%C3%ADrito_Santo_(estado),http://www.geonames.org/3463930,3463930,Brazil,8515767,"-14,-53",http://www.wikidata.org/entity/Q155,Q155,http://dbpedia.org/resource/Brasil,http://www.geonames.org/3469034,3469034
INS0005,UFES - campus São Mateus,UFES,Universidade Federal do Espírito Santo,Campus São Mateus,,,,,,,CID0002,São Mateus,Espírito Santo,Brasil,https://saomateus.ufes.br/,Federal University of Espírito Santo,0000 0001 2167 4168,"-18.715833333333,-39.858888888889",https://www.wikidata.org/entity/Q10387830,Q10387830,http://dbpedia.org/resource/Universidade_Federal_do_Espírito_Santo,Universidade_Federal_do_Espírito_Santo,Saint Matthew,3204906,2338.727,"-18.715833333333,-39.858888888889",https://www.wikidata.org/entity/Q1763574,Q1763574,"https://dbpedia.org/resource/São_Mateus,_Espírito_Santo",https://sws.geonames.org/6321990,6321990,Holy Spirit,46077.5,"-19.683333333333334,-40.46666666666667",https://www.wikidata.org/wiki/Q43233,Q43233,http://dbpedia.org/resource/Esp%C3%ADrito_Santo_(estado),http://www.geonames.org/3463930,3463930,Brazil,8515767,"-14,-53",http://www.wikidata.org/entity/Q155,Q155,http://dbpedia.org/resource/Brasil,http://www.geonames.org/3469034,3469034
INS0006,IFES - campus Vitória,IFES,Instituto Federal do Espírito Santo,Campus Vitória,,,,,,,CID0001,Vitória,Espírito Santo,Brasil,https://vitoria.ifes.edu.br/,Instituto Federal do Espírito Santo,0000 0004 0417 8332,"-20.310555555555556,-40.297222222222224",https://www.wikidata.org/entity/Q10302497,Q10302497,http://dbpedia.org/resource/Instituto_Federal_do_Espírito_Santo,Instituto_Federal_do_Espírito_Santo,Victoria,3205309,96.536,"-20.310555555555556,-40.297222222222224",https://www.wikidata.org/entity/Q168376,Q168376,"https://dbpedia.org/resource/Vit%C3%B3ria,_Esp%C3%ADrito_Santo",https://sws.geonames.org/6322001,6322001,Holy Spirit,46077.5,"-19.683333333333334,-40.46666666666667",https://www.wikidata.org/wiki/Q43233,Q43233,http://dbpedia.org/resource/Esp%C3%ADrito_Santo_(estado),http://www.geonames.org/3463930,3463930,Brazil,8515767,"-14,-53",http://www.wikidata.org/entity/Q155,Q155,http://dbpedia.org/resource/Brasil,http://www.geonames.org/3469034,3469034
INS0007,UFSC - campus Trindade,UFSC,Universidade Federal de Santa Catarina,Campus Trindade,,,,,,,CID0004,Florianópolis,Santa Catarina,Brasil,https://ufsc.br/,Universidade Federal de Santa Catarina,0000 0001 2188 7235,"-27.593280555556,-48.553047222222",https://www.wikidata.org/entity/Q1851075,Q1851075,http://dbpedia.org/resource/Universidade_Federal_de_Santa_Catarina,Universidade_Federal_de_Santa_Catarina,Florianopolis,4205407,675.409,"-27.593280555556,-48.553047222222",https://www.wikidata.org/entity/Q132997,Q132997,https://dbpedia.org/resource/Florianópolis,https://sws.geonames.org/3463237,3463237,Holy Catharina,95730.7,"-27.27,-50.49",https://www.wikidata.org/wiki/Q41115,Q41115,http://dbpedia.org/resource/Santa_Catarina,http://www.geonames.org/3450387,3450387,Brazil,8515767,"-14,-53",http://www.wikidata.org/entity/Q155,Q155,http://dbpedia.org/resource/Brasil,http://www.geonames.org/3469034,3469034
INS0008,UnB - campus Darcy Ribeiro,UnB,Universidade de Brasília,Campus Darcy Ribeiro,Brasília,https://www.wikidata.org/entity/Q2844,https://dbpedia.org/resource/Brasília,https://sws.geonames.org/3469058,Brasília,"-15.793888888889,-47.882777777778",,,,Brasil,https://www.unb.br/,University of Brasília,0000 0001 2238 5157,,https://www.wikidata.org/entity/Q1330634,Q1330634,http://dbpedia.org/resource/Universidade_de_Brasília,Universidade_de_Brasília,Brasilia,,,,,,,,,,,,,,,,,Brazil,8515767,"-14,-53",http://www.wikidata.org/entity/Q155,Q155,http://dbpedia.org/resource/Brasil,http://www.geonames.org/3469034,3469034
INS0009,UFJF - campus Juiz de Fora,UFJF,Universidade Federal de Juiz de Fora,Campus Juiz de Fora,,,,,,,CID0005,Juiz de Fora,Minas Gerais,Brasil,https://www2.ufjf.br/ufjf/,Federal University of Juiz de Fora,0000 0001 2170 9332,"-21.75,-43.35",https://www.wikidata.org/entity/Q7894373,Q7894373,http://dbpedia.org/resource/Universidade_Federal_de_Juiz_de_Fora,Universidade_Federal_de_Juiz_de_Fora,Judge of the Outside,3136702,1436.85,"-21.75,-43.35",https://www.wikidata.org/entity/Q193019,Q193019,https://dbpedia.org/resource/Juiz_de_fora,https://sws.geonames.org/3459505,3459505,General Mines ,586514,"-18.95,-44.56666666666667",https://www.wikidata.org/wiki/Q39109,Q39109,http://dbpedia.org/resource/Minas_Gerais,http://www.geonames.org/3457153,3457153,Brazil,8515767,"-14,-53",http://www.wikidata.org/entity/Q155,Q155,http://dbpedia.org/resource/Brasil,http://www.geonames.org/3469034,3469034
INS0010,UFRN - campus Central,UFRN,Universidade Federal do Rio Grande do Norte,Campus Central,,,,,,,CID0006,Natal,Rio Grande do Norte,Brasil,https://www.ufrn.br/,Federal University of Rio Grande do Norte,0000 0000 9687 399X,"-5.795,-35.208888888889",https://www.wikidata.org/entity/Q3847505,Q3847505,http://dbpedia.org/resource/Universidade_Federal_do_Rio_Grande_do_Norte,Universidade_Federal_do_Rio_Grande_do_Norte,Christmas,2408102,167.264,"-5.795,-35.208888888889",https://www.wikidata.org/entity/Q131620,Q131620,https://dbpedia.org/resource/Natal_(Rio_Grande_do_Norte),https://sws.geonames.org/3394023,3394023,Big Northern River,53306.8,"-5.74,-36.55",https://www.wikidata.org/wiki/Q43255,Q43255,http://dbpedia.org/resource/Rio_Grande_do_Norte,http://www.geonames.org/3390290,3390290,Brazil,8515767,"-14,-53",http://www.wikidata.org/entity/Q155,Q155,http://dbpedia.org/resource/Brasil,http://www.geonames.org/3469034,3469034
